vac1daily	vac2daily	vac1dailyCum	vac2dailyCum
222	15.57142857	18.71428572	17887.99999959	11170.99999981
223	8.71428572	33.57142857	17896.71428531	11204.57142838
224	8.71428572	33.57142857	17905.42857103	11238.14285695
225	8.71428572	33.57142857	17914.14285675	11271.71428552
226	8.71428572	33.57142857	17922.85714247	11305.28571409
227	8.71428572	33.57142857	17931.57142819	11338.85714266
228	8.71428572	33.57142857	17940.28571391	11372.42857123
229	8.71428572	33.57142857	17948.99999963	11405.9999998
230	3.14285715	17	17952.14285678	11422.9999998
231	3.14285715	17	17955.28571393	11439.9999998
232	3.14285715	17	17958.42857108	11456.9999998
233	3.14285715	17	17961.57142823	11473.9999998
234	3.14285715	17	17964.71428538	11490.9999998
235	3.14285715	17	17967.85714253	11507.9999998
236	3.14285715	17	17970.99999968	11524.9999998
237	1.85714285	22.42857143	17972.85714253	11547.42857123
238	1.85714285	22.42857143	17974.71428538	11569.85714266
239	1.85714285	22.42857143	17976.57142823	11592.28571409
240	1.85714285	22.42857143	17978.42857108	11614.71428552
241	1.85714285	22.42857143	17980.28571393	11637.14285695
242	1.85714285	22.42857143	17982.14285678	11659.57142838
243	1.85714285	22.42857143	17983.99999963	11681.99999981
244	5.28571428	17.71428572	17989.28571391	11699.71428553
245	5.28571428	17.71428572	17994.57142819	11717.42857125
246	5.28571428	17.71428572	17999.85714247	11735.14285697
247	5.28571428	17.71428572	18005.14285675	11752.85714269
248	5.28571428	17.71428572	18010.42857103	11770.57142841
249	5.28571428	17.71428572	18015.71428531	11788.28571413
250	5.28571428	17.71428572	18020.99999959	11805.99999985
251	0.57142857	6.85714285	18021.57142816	11812.8571427
252	0.57142857	6.85714285	18022.14285673	11819.71428555
253	0.57142857	6.85714285	18022.7142853	11826.5714284
254	0.57142857	6.85714285	18023.28571387	11833.42857125
255	0.57142857	6.85714285	18023.85714244	11840.2857141
256	0.57142857	6.85714285	18024.42857101	11847.14285695
257	0.57142857	6.85714285	18024.99999958	11853.9999998
258	0.14285715	3.85714285	18025.14285673	11857.85714265
259	0.14285715	3.85714285	18025.28571388	11861.7142855
260	0.14285715	3.85714285	18025.42857103	11865.57142835
261	0.14285715	3.85714285	18025.57142818	11869.4285712
262	0.14285715	3.85714285	18025.71428533	11873.28571405
263	0.14285715	3.85714285	18025.85714248	11877.1428569
264	0.14285715	3.85714285	18025.99999963	11880.99999975
265	0.42857143	1.71428572	18026.42857106	11882.71428547
266	0.42857143	1.71428572	18026.85714249	11884.42857119
267	0.42857143	1.71428572	18027.28571392	11886.14285691
268	0.42857143	1.71428572	18027.71428535	11887.85714263
269	0.42857143	1.71428572	18028.14285678	11889.57142835
270	0.42857143	1.71428572	18028.57142821	11891.28571407
271	0.42857143	1.71428572	18028.99999964	11892.99999979
272	0.85714285	2.57142857	18029.85714249	11895.57142836
273	0.85714285	2.57142857	18030.71428534	11898.14285693
274	0.85714285	2.57142857	18031.57142819	11900.7142855
275	0.85714285	2.57142857	18032.42857104	11903.28571407
276	0.85714285	2.57142857	18033.28571389	11905.85714264
277	0.85714285	2.57142857	18034.14285674	11908.42857121
278	0.85714285	2.57142857	18034.99999959	11910.99999978
279	0.28571428	0.71428572	18035.28571387	11911.7142855
280	0.28571428	0.71428572	18035.57142815	11912.42857122
281	0.28571428	0.71428572	18035.85714243	11913.14285694
282	0.28571428	0.71428572	18036.14285671	11913.85714266
283	0.28571428	0.71428572	18036.42857099	11914.57142838
284	0.28571428	0.71428572	18036.71428527	11915.2857141
285	0.28571428	0.71428572	18036.99999955	11915.99999982
286	0	0	18036.99999955	11915.99999982
287	0	0	18036.99999955	11915.99999982
288	0	0	18036.99999955	11915.99999982
289	0	0	18036.99999955	11915.99999982
290	0	0	18036.99999955	11915.99999982
291	0	0	18036.99999955	11915.99999982
292	0	0	18036.99999955	11915.99999982
293	0	0	18036.99999955	11915.99999982
294	0	0	18036.99999955	11915.99999982
295	0	0	18036.99999955	11915.99999982
296	0	0	18036.99999955	11915.99999982
297	0	0	18036.99999955	11915.99999982
298	0	0	18036.99999955	11915.99999982
299	0	0	18036.99999955	11915.99999982
300	0	0.42857143	18036.99999955	11916.42857125
301	0	0.42857143	18036.99999955	11916.85714268
302	0	0.42857143	18036.99999955	11917.28571411
303	0	0.42857143	18036.99999955	11917.71428554
304	0	0.42857143	18036.99999955	11918.14285697
305	0	0.42857143	18036.99999955	11918.5714284
306	0	0.42857143	18036.99999955	11918.99999983
307	0.14285715	0.28571428	18037.1428567	11919.28571411
308	0.14285715	0.28571428	18037.28571385	11919.57142839
309	0.14285715	0.28571428	18037.428571	11919.85714267
310	0.14285715	0.28571428	18037.57142815	11920.14285695
311	0.14285715	0.28571428	18037.7142853	11920.42857123
312	0.14285715	0.28571428	18037.85714245	11920.71428551
313	0.14285715	0.28571428	18037.9999996	11920.99999979
314	0	0.28571428	18037.9999996	11921.28571407
315	0	0.28571428	18037.9999996	11921.57142835
316	0	0.28571428	18037.9999996	11921.85714263
317	0	0.28571428	18037.9999996	11922.14285691
